id,file,text
140735532,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"I stay for 2 days , this hotel is very close to airport due its location and bali airport are still under construction for new expanding . Hotel itself is not new interms of average . Location not to close to kuta crowded and its good for me . Service is convenient , breakfast are so so ."
92616863,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"This is a branch of harris hotel in bali . The other one situated on Kuta beach . okay and clean , our room on the first floor and overlooking the swimming pool so my nieces could go swimming immediately without waiting for the elevator or stairs . Service is also quite good . The problem is a narrow parking place and uncomfortable plus the location is not strategic ."
680468067,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Located near Ngurah Rai Airport and Kuta Beach , lots of local food around . Cozy room and fluffy pillows , the bathroom are clean , the water pressure is great . Too bad some of the ramp are too high for wheelchair . And there is no mirror in the room , only in the bathroom . But overall great place ."
665889146,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Stayed in this hotel for 7 - hour room during transit . It ' s very close to the Ngurah Rai airport , and they can pick you up from and give you a ride to the airport for free . The hotel is also walking distance to Lippo Mall . Love the minimalist design of the hotel . Rooms are clean , comfortable . Service is friendly ."
619043897,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"I like the hospitality . Thank you guys . TV channel was awesome . The internet was also fast . But the room is not carpet . So I just feel not very comfortable with the wet / cool floor . I like the welcoming juice , where we can consume it always . Good job guys ."
584935355,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"I had a long layover at Bali so I decided to book a day room at the hotel , it all worked 100 % . Airport pickup was good as was the check - in porocess . The room was clean . For the very low price I paid this was an excellent option , as I could relax and shower before going back to the airport for my long flight home ."
556377436,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,I was looking for a transit accommodation for 12 hours between flights . Friend suggest Harris Tuban . Harris is having excellent facilities including free Airport pick up and drop off . Staff are friendly and food is great . Tried cafe couple of times food is nice .
550563409,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,We had an overnight layover in Bali before flying out early the following morning to Labuan Bajo . Perfect for that purpose as it was close to he airport and hotel provided free shuttle from and to the airport 24 hours . Room was clean and functional . Staff were helpful and friendly .
502500017,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Arrived late at night and had an early AM departure to Gili islands , was fine for a sleep . . nice pool and bar open til 1130 . Fine for what it is , essentially a transit hotel . . 1 min drive from airport , though couldn ' t see any way to walk . . . free transfer offered but had to wait about 20 mins due to traffic ."
477128300,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"I stayed in this hotel for only 1 night . From outsude it looks basic but the rooms are below average . Bathrooms are old and dirty , also bed sheets aren ' t clean , also the towels ."
455969855,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"we used to stay at other hotels in kuta on our last night as the plane always leaves in the early morning , always involving a large taxi fare or to much travalling time to get to airport , we then found the harris hotel , cheap , clean , free shuttle to airport , we stay with them every time we leave or arrive ."
453916162,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,What a great experience . We were recommended Harris as a day hotel - to leave our bag at afterchecking out of our house and before airport . It was such a good idea ! Lovely staff and environment - great pool and amenities . Will be back !
443256060,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,I ' ve stayed in Harris multiple times and it ' doesn ' t always a good choice . the staff is kind and the service is overall very good . It ' seems also good value . The only thing I think should be improved is Internet speed and stability .
439148172,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"We always stay here if arriving late or departing early from DPS . You can easily walk to the hotel from the airport and it ' s about a 20 - 25 minute walk from the hotel into the heart of Kuta . Basic , clean and good value for the price ."
435026898,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,Close to airport this is an excellent hotel for short quiet stays . Excellent room size and facilities Buffet breakfast - Indinesian and Western style food . No lift so with heavy luggage a bit inconvenient . Only one staff member on check out desk in morning - delayed our departure somewhat .
434756529,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"If you need a mid - range hotel right next to the airport yet quiet , this is the place . Very reasonably priced , great service and nice breakfast buffet . The rooms are basic and some have lots of stairwells to navigate but the concierge is there to assist . Free shuttle provided to the airport as well ."
418967697,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"This is a great airport hotel . Staff is friendly , room is large , clean and comfortable . The hotel grounds are kept in good condition and the pool looks beautiful but we didn ' t go in . There ' s also a spa . We did not have breakfast . Roundtrip airport shuttle is a huge plus . Great value and highly recommend !"
408003994,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,We needed somewhere to shower and rest before our midnight flight out .
401884372,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"If your looking for a reasonably priced Hotel very close to the airport this place is ideal . So close you could actually walk . The rooms are small but adequate . Ideal for a one night stay - there ' s not much to do in the surrounding area . All in all , comfortable , the staff very friendly and the location to the airport excellent ."
377803620,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Stayed here one night , very close to the airport that ' s why we picked it , rooms average , breaky average and very noisey . Probably wouldn ' t go back , price was ok for what u got though ."
376302219,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Room was 329 . I was bitten by bedbugs on my neck and am still itching after 2 weeks . Room wasn ' t too clean and the aircon very noisy . Breakfast was OK , service friendly , but I can ' t give this hotel a better mark ."
342462918,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,We decided to have dinner here before our flight out of Bali . Nice crisp clean air conditioned restaurant but grossly over priced . IDR90K for spaghetti bolognese . It was an entree size . Eat elsewhere if you want to not overspend and pay more than what the food is worth .
339086022,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,We came back from Ceningan on an early boat and booked this room close to airport . We only had room for 7 hours and it was well worth it for the shower and somewhere cool . * * * * Rooms stink like smoke and cigars .
337989416,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"This was for an overnight stay in Bali , as reported it is near to the airport so good access to the airport , the hotel reception area gives you a false sense of security a facade behind that is a noisy hotel with small rooms that need some TLC , the bar is poorly stocked and consists of a couple of Chairs and tables at the back of the reception ."
317204413,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"We only experienced this hotel as a transit hotel and for this purpose it was an excellent choice , quiet and comfortable and with a free shuttle to the airport early in the morning , had we known we would have booked the shuttle to the hotel also as it is VERY close ."
316502936,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"simple and cheap rooms but very good facilities ( pool , spa ) . Out room and the road side and close to the réception was a but noisy , but staff was really nice and the breakfast was ok ."
309643236,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"It ' s very close to International terminal . Less than 10 minutes walk . The service were good , worth the money I spent for booking . Airport pickup / dropoff service also available if you luggage is too big / heavy to be carried / strolled . Definitely a nice place to stay for those in transit or want to access the airport easily ."
295127126,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,Stayed one night while in transit . The hotel met our needs as it is very convieintly located near the airport . The room was small but clean and comfortable . The price included breakfast which was very nice with a large selection of food . We would stay here again in the future if the need arises .
271419072,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Stayed for one night here on way to Lovina in North Bali . Can ' t complain . It was clean . Staff very helpful . Nice , but small rooms . For a stopover for one or two nights it ' s ideal . Only a few minutes from Airport . Breakfast was very ordinary . But all in all . Very good ."
270901433,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,This is the 2nd time I have used this hotel for a short stopover between flights . The hotel is less than 10 minutes from the airport and the pickup and drop off are easy to arrange through the hotel . The rooms are clean and comfortable enough for a short stay and there is a pool and spa facilities . I would be happy to use again .
253115831,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,Great service and staff were very helpful and friendly . Location and price is great if your flight arrives very late and / or leaves early as they also have free airport transfers 24 / 7 . There were a few stains on towels and bed sheets but that seems to be a Bali - wide issue rather than just this hotel . Also the room service and cafe food was delicious .
245282916,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"This is a greet place for a relaxed stop . You can walk from the airport ! It ' s only about 300 metres . Nice rooms , swimming pool , lovely breakfast and really good staff . The surrounding area has some small marts for last minute items and some local style restaurants ."
240636777,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"I stayed at this hotel for 1 ( one ) night to catch my flight in the morning . Room was okay , price was okay . The best thing of this hotel is that they have airport shuttle for free . Recommended if you want to stay near airport , but if you don ' t have to deal with airport please go somewhere else ."
236337242,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Located next to the airport , no need to worry about traffic to the airport . The room is quite nice and clean for a nice price . Good for transit hotel with a nice price . The staff is nice , the breakfast was standard ."
232993949,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"I recently stayed at this hotel in transit to Lombok . Close to the airport really friendly staff , free shuttle to and from airport and to go shopping . Breakfast mostly Asian but can get omelette a to order . Overall very happy & good price . Room was very clean & very quiet ."
222893553,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,Right next to the airport . This hotel is clean and quiet and well suited for a stopover . The layout of the hotel is a little strange ( lots of ups and downs with bags ) . Well suited for its purpose . There is also a shuttle bus . Not much in the surrounding area .
206952032,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Its only a short stay for me and my wife but everything went very good . The arrangement for pick up and drop off airport was very good and in time , the staff are very friendly and helpful , quick check in , very cozy room . . its just great . . . Definitely we will come back and stay in this hotel . . ."
205483644,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"We used the Harris as a base for a visit around East Java . The hotel was very covenient . The location , very close to the airport , is very good , On our return from East Java we returned to the Harris for a stopover for six hours before catching our international flight on to Sydney ."
195406770,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"i stayed with my husband and our kids in a suite room , the room is large and so comfort . My kids were enjoy . The staff were helpful . Breakfast is so delicious , unfortunately they forgot to give us welcome drink ."
180892510,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Got room in front of the pool . . Nice price , nice room . . Breakfast was good . . Location is good , near the airport . . But there is no elevator , i need to use stair . . It is good for short trip or for sleeping only . ."
180543278,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"I arrived late at night and just needed somewhere to sleep before travelling to Ubud the next day . The Harris Hotel is very close to the airport . The room was a little Spartan , but the common areas were delightful , and it was wonderful to have so much light in the corridors , thanks to the novel design . The staff were friendly and helpful , and the breakfast was nice ."
155919348,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Good for short brake before take off , hotel transfer or one day stay as next to airport with free transfer . Small rooms but clean . Located far from beach , and builders are all around . Do not take it as relaxing holliday ."
149720326,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"We haft to book a room for 1 night due to flight mick up , we booked in after midnight and the staff couldn ' t be more helpful and friendly , the room is sufficient , clean and has good its close to Kuta but far enough to be a bit less hectic ."
145020132,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Although this hotel is small in size , this hotel is quite comfortable and offers a good value of money . It ' s clean , good size of room and friendly staff . Wi - fi connection is good and free of charge ."
141466372,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"Within a reasonable walking distance from the airport ( except you have to go around a rather long fence to get there ) . Modern hotel , no nonsense good service . Definitely value for money . Ideal for a late night arrival or early morning departure ."
133959603,HARRIS_Hotel_Kuta_Tuban-Tuban_Kuta_Kuta_District_Bali.json,"although the location of the hotel is very close to the Ngurah Rai airport , but the atmosphere is quiet enough to relax and also very easy to become a meeting place with family and partners ."
