comment_id,target,opinion,sentiment,confidence,category,top_category_score
886175366,which,poor,NEG,0.9997,,
886175366,pay,whinge,NEG,0.5003,price,0.78
886175366,breakfast,substantial,POS,1.0,food,0.77
886175366,room,large,POS,1.0,facility,0.86
886175366,room,clean,POS,0.9998,facility,0.86
886175366,air conditioner,has goods,POS,0.9998,facility,0.67
886175366,bathroom,huge,POS,1.0,facility,0.80
886175366,wait,issue,NEG,0.5794,experience,0.77
886175366,balcony,big,POS,1.0,facility,0.92
886175366,balcony,bright,POS,0.9999,facility,0.92
886175366,balcony,air,POS,0.9997,facility,0.92
751602005,room,outdated,NEG,1.0,facility,0.86
751602005,room,don ’ t see every clean,NEG,1.0,facility,0.86
751602005,hand soap,no amenities,NEG,0.9217,service,0.88
751602005,bath towels,no amenities,NEG,0.8209,facility,0.67
751602005,air conditioner,dripped,NEG,0.9999,facility,0.67
751602005,staff,not friendly,NEG,1.0,service,1.00
751602005,staff,didn ’ t help,NEG,0.9994,service,1.00
751602005,breakfast,minimal,NEG,0.812,food,0.77
751602005,breakfast,not every goods,NEG,1.0,food,0.77
751602005,location,plus side,POS,0.9998,environment,1.00
751602005,pool,plus side,POS,0.9996,facility,1.00
751602005,resort,nicer,POS,0.9843,facility,0.88
736659114,stay,hesitant,POS,0.555,experience,1.00
736659114,room 306,stayed,NEU,1.0,facility,0.86
736659114,room,clean,POS,1.0,facility,0.86
736659114,room,well maintained,POS,1.0,facility,0.86
736659114,room,cleaners,POS,1.0,facility,0.86
736659114,air con,great,POS,1.0,facility,0.83
736659114,staff,amazing,POS,1.0,service,1.00
736659114,staff,smiling,POS,1.0,service,1.00
736659114,money,highly recommend,POS,0.9861,price,0.88
736659114,rate,great,POS,1.0,price,0.82
736659114,lippo mall,close,POS,0.683,environment,1.00
736659114,lippo mall,price,NEG,0.9951,environment,1.00
736659114,restaurant,great,POS,1.0,food,1.00
736659114,restaurant,near,POS,1.0,food,1.00
736659114,cafe,fantastic,POS,1.0,food,0.94
736659114,pork ribs,best,POS,0.9999,food,0.92
736659114,breakfast,included,POS,0.4311,food,0.77
736659114,price,included,POS,0.3867,price,1.00
736659114,breakfast,basic,NEU,0.834,food,0.77
736659114,price,basic,NEU,0.7364,price,1.00
4393020,location,happy,POS,1.0,environment,1.00
4393020,pool,clean,POS,1.0,facility,1.00
4393020,beach,walking distance,POS,0.9999,environment,0.67
4393020,kuta,10 mine walk,POS,0.4931,,
4393020,bakery,fabulous,POS,0.7658,environment,0.86
4393020,supermarket,fabulous,POS,0.862,environment,0.82
