comment_id,target,opinion,sentiment,confidence
886175366,Breakfast,substantial,POS,1.0
886175366,room,large,POS,1.0
886175366,room,clean,POS,1.0
886175366,aircon,good,POS,1.0
886175366,bathroom,huge,POS,1.0
886175366,balcony,big,POS,1.0
886175366,balcony,bright,POS,1.0
886175366,balcony,airy,POS,1.0
751602005,rooms,outdated,NEG,1.0
751602005,room,cold,NEU,0.9956
751602005,Breakfast,minimal,NEU,0.9575
736659114,stay,hesitant,NEG,1.0
736659114,Room,clean,POS,1.0
736659114,room,cleaned,POS,1.0
736659114,Staff,amazing,POS,1.0
736659114,Staff,smiling,POS,1.0
736659114,Staff,honest,POS,0.9999
736659114,restaurants,Great,POS,1.0
736659114,Breakfast,basic,NEU,0.9986
736659114,price,basic,NEU,0.9974
4393020,location,happy,POS,1.0
4393020,pool,clean,POS,1.0
4393020,bakery,fabulous,POS,1.0
4393020,supermarket,fabulous,POS,1.0
4393020,bakery,modern,POS,0.9999
4393020,supermarket,modern,POS,1.0
5438719,budget,good,POS,1.0
5438719,staff,friendly,POS,1.0
5438719,staff,helpful,POS,1.0
5438719,Pool,great,POS,1.0
5438719,hotel,safe,POS,1.0
5438719,hotel,quiet,POS,1.0
5438719,Staff,friendly,POS,1.0
105053946,rooms,basic,NEU,1.0
105053946,rooms,old,NEG,1.0
105053946,rooms,clean,POS,1.0
105053946,rooms,cleaned,POS,1.0
105053946,TV,roomy,POS,0.9724
105053946,price,good,POS,1.0
105053946,pool,enjoyed,POS,1.0
105053946,pool,enjoyed,POS,0.9773
105053946,loungers,enjoyed,POS,1.0
340119793,room,spacious,POS,0.9997
340119793,bathroom,spacious,POS,0.999
340119793,rooms,cleaned,POS,1.0
340119793,location,good,POS,1.0
124637732,place,good,POS,1.0
124637732,bed,clean,POS,1.0
124637732,room,cool,POS,1.0
124637732,water,clean,POS,1.0
124637732,gardens,amazing,POS,1.0
124637732,Hotel,safe,POS,1.0
124637732,everyone,friendly,POS,1.0
121724578,place,worst,NEG,1.0
117884167,staff,fantastic,POS,1.0
685101496,view,great,POS,1.0
685101496,rooms,quiet,POS,1.0
685101496,rooms,comfy,POS,1.0
295558103,hotel,worst,NEG,1.0
295558103,rooms,dirty,NEG,1.0
295558103,rooms,old,NEG,0.9071
227816563,price,gem,POS,1.0
227816563,place,gem,POS,1.0
227816563,pool,Nice,POS,1.0
227816563,rooms,clean,POS,1.0
227816563,gardens,lovely,POS,1.0
227816563,tiles,broken,NEG,1.0
209982822,terrace,has,NEU,1.0
107068313,room,filthy,NEG,1.0
467159630,drink,cold,POS,0.8706
467159630,rooms,neat,POS,1.0
467159630,rooms,clean,POS,1.0
467159630,bathrooms,big,POS,1.0
467159630,bathrooms,clean,POS,1.0
467159630,restaurant,basic,NEU,1.0
467159630,food,amazing,POS,1.0
304503322,location,Excellent,POS,1.0
304503322,Breakfast,poor,NEG,1.0
217696913,Airport,close,POS,1.0
217696913,People,affordable,POS,0.9991
207804376,location,great,POS,1.0
207804376,staff,friendly,POS,0.9996
207804376,bathrooms,painted,POS,0.9611
207804376,bathrooms,updated,POS,1.0
207804376,menu,simple,NEU,1.0
207804376,shopping,clean,POS,1.0
207070237,rooms,dingy,NEG,1.0
207070237,breakfast,laughable,POS,1.0
207070237,breakfast,sufficient,POS,1.0
207070237,airport,Close,POS,1.0
142685672,manager,friendliness,POS,0.9995
142685672,staff,friendliness,POS,0.9981
142685672,Pool,lovely,POS,1.0
142685672,gardens,pretty,POS,1.0
130559223,sheets,clean,POS,1.0
130559223,staff,friendly,POS,1.0
116001939,hotel,beautiful,POS,1.0
116001939,gardens,amazing,POS,1.0
116001939,pool,great,POS,1.0
116001939,rooms,basic,NEU,1.0
116001939,rooms,fine,NEU,0.9999
116001939,beds,Comfy,POS,1.0
116001939,shower,good,POS,1.0
116001939,bathroom,small,NEG,1.0
116001939,TV,small,NEG,0.9928
116001939,walls,thin,NEG,1.0
116001939,Staff,friendly,POS,1.0
116001939,Staff,helpful,POS,1.0
92852386,stay,enjoyed,POS,0.5092
92852386,staff,fantastic,POS,1.0
92852386,room,basic,NEU,1.0
92852386,balcony,nice,POS,0.9847
92852386,pool,nice,POS,1.0
92852386,tiles,slippery,NEG,1.0
92852386,breakfast,pritty,POS,0.9689
92852386,stay,enjoyed,POS,1.0
74857121,hotel,cheap,POS,1.0
74857121,situated,ideally,POS,1.0
29162261,rooms,basic,NEU,1.0
29162261,breakfast,basic,NEU,1.0
29162261,food,good,POS,1.0
493882930,place,horrible,NEG,1.0
493882930,bathroom,Dirty,NEG,1.0
493882930,breakfast,rubbish,NEG,1.0
493882930,Pool,chlorinated,NEG,1.0
493882930,pool,nice,POS,1.0
492638943,place,pleased,POS,1.0
492638943,bathroom,clogged,NEG,1.0
492638943,staff,friendly,POS,1.0
492638943,Breakfast,decent,POS,1.0
492638943,place,decent,POS,0.8564
457745719,hotel,love,POS,1.0
457745719,room,big,POS,1.0
457745719,room,renovated,POS,1.0
324315173,room,clean,POS,1.0
324315173,room,comfortable,POS,1.0
324315173,room,tidy,POS,1.0
324315173,staff,lovely,POS,1.0
324315173,breakfasts,enjoyed,POS,1.0
324315173,pool,enjoyed,POS,1.0
324315173,location,excellent,POS,1.0
323343135,hotel,fine,POS,1.0
323343135,hotel,good,POS,1.0
323343135,people,great,POS,0.999
323343135,staff,pleasant,POS,1.0
323343135,food,good,POS,1.0
323343135,shops,central,POS,1.0
323343135,restaurants,central,POS,1.0
323343135,gardens,maintained,POS,0.9095
323343135,rooms,maintained,POS,0.9937
298999201,Rooms,clean,POS,1.0
298999201,grounds,neat,POS,1.0
298999201,grounds,tidy,POS,1.0
298999201,staff,friendly,POS,1.0
298999201,food,good,POS,1.0
298999201,price,good,POS,1.0
298999201,location,good,POS,1.0
298999201,money,worth,POS,1.0
250458639,location,great,POS,1.0
250458639,Rooms,spacious,POS,1.0
250458639,Bed,hard,NEG,1.0
250458639,Bed,comfy,POS,0.9999
250458639,pillows,extra,POS,0.9928
250458639,Towels,old,NEG,1.0
250458639,Towels,clean,POS,1.0
250458639,Breakfast,reasonable,POS,1.0
