We read previous reviews .,886175366
which were poor .,886175366
"However , we ' ve travelled extensively around the world , mostly in Asia where we ' ve lived for over 10 yrs & sampled 0 to 5 star plus .",886175366
For what you pay for this place there ' s nothing we could find to whinge ( complain ) about ! We paid Idr312k / £ 17 / nt incl breakfast .,886175366
Breakfast was substantial .,886175366
"all the local fayre ( nasi goreng , fried veg with chicken sausage , mushrooms , pancakes ) fruit ( papaya / banana ) , tea / coffee , toast AND you can order your eggs in any style in addition to this .",886175366
"Damn fine ! The room was large , clean & has good aircon .",886175366
"A kettle , tv & daily 2x bottled water .",886175366
The bathroom was huge .,886175366
maybe the only issue was waiting 3 / 4 minutes to run the water for a very hot shower .,886175366
"The balcony was big , bright & airy and had 2 chairs , a .",886175366
Stayed here for 1 night when we were unable to board our flight this week since it ’ s right by the airport .,751602005
"The rooms are disappointing , outdated and don ’ t seem very clean .",751602005
No amenities aside from hand soap and bath towels .,751602005
"The ac kept our room cold but dripped all night , we had to stick a trash can underneath it and listen to it drip while we tried to sleep .",751602005
We asked for a nonsmoking room but there was an ash tray in it ( didn ’ t smell though ) .,751602005
"The staff that brought us to the room was not friendly and didn ’ t help us with our bags up many flights of stairs , he just walked far ahead and let us deal with them .",751602005
Breakfast was minimal and not very good .,751602005
Only plus side is location and the pool .,751602005
"We paid hardly any more for a much nicer resort the night before , wish we had just gone back .",751602005
Was a bit hesitant to stay based on other reviews .,736659114
Stayed in room 306 for $ 35 aus per night .,736659114
"Room was clean and well maintained , also room was cleaned daily .",736659114
Great air con that chilled the room quickly .,736659114
Staff were amazing also smiling and quick to joke with us .,736659114
Very honest and highly recommend money change with great rates directly opposite the hotel .,736659114
See Bec in the shop next door for SIM card for your phone .,736659114
Close to lippo mall for the supermarket they are a bit pricey so only went there when I could not access the things I needed in Circle K .,736659114
"Great restaurants near by , if you turn left out of the hotel into the lane way , there is a fantastic cafe just down the lane way on the right hand side .",736659114
The best pork ribs ever .,736659114
Breakfast is included in the price but is basic .,736659114
If looking .,736659114
"We stayed here in Feb 2005 because it was one of the "" package deal "" hotels listed on our booking .",4393020
We didnt expect much as it was a lead in hotel but were very happy with the location .,4393020
It had a clean pool by the meals pavilion .,4393020
Mostly the guests seemed to be more the retiring type so it was very quiet day and night .,4393020
It is located down a lane away from the main road which also helped keep it quiet .,4393020
It was serviced by a strip of shops covering all the basics from internet access to t - shirts and art etc .,4393020
on the way to the main road .,4393020
It was also walking distance to the beach .,4393020
Only a 10 minute walk to the centre of Kuta and in the other direction a fabulous and modern bakery and supermarket owned the Chinese Emporium .,4393020
Surprisingly this shop presented as ultra western with .,4393020
I loved Bakungs Beach Cottages .,5438719
"A good budget hotel , which helped for me as I come from U .",5438719
S .,5438719
and flight is very long - - so I want to stay in Bali at least three weeks .,5438719
The staff were all friendly and helpful .,5438719
I felt right at home there and enjoyed the other guests as well .,5438719
Pool was great after a day at the beach .,5438719
"I encountered NO rudeness from any of the staff , and that is unheard of in this day and age .",5438719
"Everyone was eager to help , assist and just have a normal conversation .",5438719
I travel alone for the most part and the hotel is safe and quiet .,5438719
"There are shops along the road and when you want something different than what is on the menu at Bakung ' s , there was a great warung just down the road to the left of Bakung ' s Beach Cottages .",5438719
Staff was friendly there also .,5438719
Right across .,5438719
We booked in to Bakung ' s Beach Cottages based only on price and the fact that we could get adjoining rooms as we wanted to have a two week holiday on a budget .,105053946
"Then we read the reviews here and were a little worried about what to expect ! It was great ! The rooms were basic and old , but they were clean , and cleaned every day ; roomy with a TV and small fridge , and the breakfast which was included in the price was good .",105053946
The kids enjoyed the pool and we enjoyed the loungers beside it .,105053946
"The air cons were great and there were no bugs , insects or vermin ! The hotel is located about 5 mins walk from the beach one way or 2 mins from the main street and 10 mins walk to Waterbom Park and Discovery Plaza .",105053946
We walked up and down the lane at all times of the night with three young kids and never .,105053946
"The hotel room itself should be 4 stars ! : ) it ' s great value for money ! Unfortunately the restaurant in the hotel is shocking ! It deserves 1 star ! The double room was great - it ' s spacious with a big bathroom , flat screen TV ( with cable - good choice of channels ) , big balcony , fridge , wardrobe and free bottles of water every day .",340119793
The rooms were cleaned very well every day even if you asked them to come back at a later time .,340119793
We arrived at 3am but checked in fine ! The location is good and quiet down a side road .,340119793
"It ' s right next to the Lippo Mall ( 2 mins ) which has a supermarket , cinema and restaurants .",340119793
It ' s a short walk to the beach - however this is down a shady alleyway where you wouldn ' t like to walk at night but it ' s fine in the day .,340119793
With our room price we had free .,340119793
I stayed here for the 1st time late 2011 into 2012 and overall this place is pretty good .,124637732
"iI am not one of these people who spend alot of time in my room , but when you are in there the bed is clean , sheets change each day and the room is cool from the A / C .",124637732
"Now we go to the pool area which is great , the water in the pool is clean and around there during the day is quite social with the other guest staying there .",124637732
The pool bar does not open but the restuarant is right there if you want a drink or food .,124637732
The gardens around the hotel are amazing .,124637732
"So guys this Hotel is very safe nothing was ever touched in my room , and everyone is pretty friendly .",124637732
"NOW its not the Ritz Hotel , But for the budget travel person its really good .",124637732
Just saying ! Jiffy .,124637732
I have stayed at Bakung Beach Cottages several times over the past 3 years .,121724578
It is an adequate stay for the Traveller on a budget or someone just looking for a nice cool room to rest between sessions at the many of the islands clubs .,121724578
To all out there who label it the worst place or horrible I suggest stop being a cheapskate and fork out the extra $ 250 for something 5 star .,121724578
Best budget hotel in Bali fantastic staff from management to cleaners couldnt do enough for us .,117884167
Hotel needs an upgrade but for the price you pay well worth it .,117884167
We wouldnt hesitate to stay at this hotel again speciial thanks to manager Nyoman a truly special man .,117884167
Doesn ’ t make much sense to be booked into your flash south Bali hotel / resort first night if your flight arrives post 20 .,685101496
"00 – you have paid for the great view , rim pool , gym , restaurant yada but all you will see on late arrival ( add at least an hour for the airport and the trip from , although the latter can be much more in South Bali ' s horrendous pre - midnight traffic ) is the inside of your hotel room for a short while ( hopefully ) – before the zzzzs kick in .",685101496
Way better to head for a near - airport lower midrange place with quiet comfy rooms .,685101496
Which BAKUNG does well .,685101496
"Similarly if your flash resort is anywhere north of halfway to UBUD or south - west of BALANGAN , you don ’ t want to spend more than an hour ANYTIME OF DAY squashed up in a cab or resort shuttle after a long tiring flight .",685101496
In about 20 trips to Bali this is the worst hotel I have stayed at .,295558103
Thought I would try it for 2 nights as the pictures through Agoda ( & other booking sites ) looked good .,295558103
I have stayed at a lot more expensive and a couple cheaper .,295558103
In my second room after complaining about the 1st and am now looking forward to tomorrow morning to book out and go elsewhere .,295558103
"The rooms are dirty , the not plugged in fridge was filthy with mould and other substances in it .",295558103
The sheets and towels - which none have been left from making the room up this morning - are threadbare and a dirty colour .,295558103
Have just watched 2 older women cart their bags up 3 flights of stairs .,295558103
Staff are not rude but of no help .,295558103
The rooms I have seen are old and depressing with no safe to lock things in .,295558103
Breakfast is just passable .,295558103
I ' m writing this review at the same time as we are staying here .,227816563
This is a place that is clearly on the way up .,227816563
"We noted all the bad older reviews before we got here and the better recent ones , and that pretty much tells the story .",227816563
It seems there must ' ve been LOTS of improvements over the past few months .,227816563
"Yep , there ' s still a bit to go , but for the price , this place is a gem .",227816563
"Nice pool w / swim up bar , clean rooms with king size beds ( and air con ) and lovely gardens , it ' s a perfect place to radiate from for your Bali stay .",227816563
The cons : Water pressure a little light on the top ( third ) floor .,227816563
Still some broken tiles in the pool ( though they ' re not really dangerous ) .,227816563
Breakfast choices maybe a bit lean for some .,227816563
The odd mangy cat floating thru the grounds .,227816563
The pros : THE PRICE ! We booked .,227816563
I have stayed here each time I arrive in Bali and find Bakung ' s Beach Hotel to be comfortable and affordable accommodation close to the airport .,209982822
This is really convenient when arriving later at night as it saves a long trip in to the Kuta / Legian area at a time when the traffic is not flowing quickly .,209982822
There are also two shopping malls close by .,209982822
The new Lippomall is right next door and the Discovery Mall a 15 minute walk away .,209982822
Bakung ' s Beach Hotel is not on the beach but quite close and access to the waterfront is possible through the Pantai Inn restaurant grounds .,209982822
"The rooms have a small fridge , cable TV , bedside tables and good bedside lighting .",209982822
The cupboard space has varied in the different rooms I have stayed in .,209982822
Each room has a terrace area with a table and two chairs .,209982822
The .,209982822
Checked in to this hotel last night and we had paid for 2 nights .,107068313
The room was filthy and smelt of moth balls .,107068313
I didn ' t want to use the bathroom or lay my head on the pillows .,107068313
It was so terrible that we decided to move hotels .,107068313
"The hotel advertises its rack rates at AUD $ 60 , but you can find it advertised for cheaper on other sites .",107068313
"I ' ve travelled in Vietnam and stayed in budget accommodation , paying around US $ 20 per night .",107068313
"; I wouldn ' t pay USD $ 20 for this place , or anymore than AUD $ 15 ! I don ' t think it provides good value for money .",107068313
It would be an okay place to sleep if you can overlook its tiredness and general grottiness .,107068313
"Given the competition for western business , this place needs to lift its game .",107068313
It ' s a hidden gem tucked away the reception is a decent climb up many stairs you are greeted with a refreshing smile and very cold drink .,467159630
The rooms are very neat and clean this hotel recently had an upgrade and the bathrooms are very big and clean the restaurant is basic but the food is amazing the best is the MI goreng the pool is very large and has a swim up bar .,467159630
the beach is about a 5 minute walk and the main street is at the end of the lane all the stall sellers on the street are lovely for a cheap hotel I can ' t knock it I have been to this hotel about 6 times and I ' m drawn back by the relaxing feeling I get from it .,467159630
Excellent location right next to the new lippo mall .,304503322
We had a room the backed into the mall and the motorbikes starting at 6am going into the car park and all the talking behind us was painful .,304503322
Room was not cleaned to my liking .,304503322
Breakfast was poor at best .,304503322
Stayed with friends who woke up covered in bed bug bites .,304503322
Kids used the pool and within seconds were screaming about the water in their eyes .,304503322
"Told them just not to put their heads under the water , but then when they got out the were covered in chemical burns ( all the kids 6 in total so not just a one off child with sensitive skin ! ) the pool bar was not open , and restaurant staff would not even walk the two steps down yo the pool to serve us drinks .",304503322
"Checked out and told staff all our issues , and no apology just said no refund .",304503322
I have used this property in the past for a stop over being close to the Airport & Kuta attractions which makes life easy .,217696913
Booking online has been easy & so affordable that there is money in the pocket to get out & see Bali .,217696913
